P0001,196,526,49
P0002,136,150,25
P0003,189,730,20
P0004,192,342,34
P0005,85,89,31
P0006,186,385,20
P0007,194,606,39
P0008,111,911,30
P0009,186,792,45
P0010,151,661,41
P0011,55,404,41
P0012,62,320,37
P0013,119,328,43
P0014,171,166,30
P0015,187,232,38
P0016,101,753,37
P0017,102,514,44
P0018,133,582,43
P0019,77,353,42
P0020,88,770,36
P0021,87,996,20
P0022,87,419,29
P0023,200,61,22
P0024,183,242,40
P0025,169,373,39
P0026,141,205,21
P0027,79,153,27
P0028,147,897,24
P0029,158,318,31
P0030,123,29,40
P0031,93,732,33
P0032,73,351,32
P0033,102,833,50
P0034,122,135,47
P0035,98,406,42
P0036,129,145,34
P0037,67,880,22
P0038,65,66,47
P0039,61,559,25
P0040,51,250,48
P0041,173,538,28
P0042,145,16,26
P0043,108,300,29
P0044,64,873,38
P0045,108,1000,25
P0046,144,584,40
P0047,189,194,23
P0048,52,259,49
P0049,179,549,42
P0050,156,426,45
P0051,65,579,27
P0052,175,448,34
P0053,83,674,33
P0054,165,129,27
P0055,156,506,29
P0056,53,689,35
P0057,89,989,44
P0058,77,883,37
P0059,180,309,22
P0060,181,246,35
P0061,156,919,50
P0062,98,528,46
P0063,152,909,26
P0064,87,92,21
P0065,61,893,28
P0066,171,325,35
P0067,58,264,33
P0068,80,606,22
P0069,113,628,47
P0070,197,478,23
P0071,83,210,38
P0072,198,776,38
P0073,98,930,34
P0074,59,107,47
P0075,179,964,22
P0076,119,431,22
P0077,193,328,25
P0078,151,972,29
P0079,119,417,50
P0080,171,910,28
P0081,171,621,41
P0082,64,283,32
P0083,180,420,38
P0084,101,316,31
P0085,75,375,41
P0086,198,824,45
P0087,188,884,36
P0088,121,994,32
P0089,112,842,41
P0090,184,271,31
P0091,58,249,25
P0092,119,585,49
P0093,78,880,22
P0094,199,88,47
P0095,69,308,32
P0096,59,301,34
P0097,192,480,42
P0098,189,822,37
P0099,71,626,33
P0100,115,201,33
P0101,187,400,33
P0102,153,843,24
P0103,126,482,44
P0104,167,376,35
P0105,168,470,36
P0106,133,22,36
P0107,112,373,40
P0108,126,740,23
P0109,178,875,29
P0110,96,915,23
P0111,92,496,22
P0112,128,321,27
P0113,66,207,21
P0114,130,935,24
P0115,166,148,43
P0116,116,680,24
P0117,144,348,40
P0118,135,434,22
P0119,113,205,43
P0120,83,82,39
P0121,61,590,45
P0122,163,360,50
P0123,154,223,41
P0124,75,180,28
P0125,193,95,40
P0126,85,393,27
P0127,87,475,49
P0128,53,846,21
P0129,74,920,27
P0130,129,72,45
P0131,114,496,42
P0132,159,847,49
P0133,102,117,32
P0134,169,382,33
P0135,200,385,35
P0136,155,405,43
P0137,107,60,28
P0138,123,666,31
P0139,108,257,34
P0140,175,758,46
P0141,73,458,26
P0142,183,839,34
P0143,133,665,28
P0144,95,736,21
P0145,146,350,33
P0146,130,677,42
P0147,105,30,25
P0148,165,562,24
P0149,183,49,47
P0150,52,988,50
P0151,121,75,22
P0152,148,365,28
P0153,161,946,35
P0154,175,898,32
P0155,155,465,22
P0156,151,374,40
P0157,181,14,24
P0158,172,364,39
P0159,95,9,47
P0160,182,640,47
P0161,187,856,25
P0162,153,243,24
P0163,187,62,48
P0164,127,214,47
P0165,135,939,21
P0166,53,466,45
P0167,146,486,33
P0168,72,97,31
P0169,147,263,44
P0170,187,72,47
P0171,185,452,30
P0172,165,657,37
P0173,75,201,25
P0174,108,894,39
P0175,88,718,49
P0176,108,146,35
P0177,147,525,36
P0178,150,177,24
P0179,75,795,25
P0180,72,40,24
P0181,91,59,50
P0182,81,624,35
P0183,180,131,35
P0184,190,872,35
P0185,68,378,27
P0186,151,619,47
P0187,88,913,46
P0188,63,586,47
P0189,51,395,40
P0190,188,602,45
P0191,109,196,32
P0192,52,65,31
P0193,147,888,21
P0194,60,385,34
P0195,165,772,38
P0196,124,111,31
P0197,149,123,46
P0198,55,498,22
P0199,184,521,20
P0200,195,845,24
P0201,118,377,27
P0202,166,605,46
P0203,78,740,47
P0204,150,595,40
P0205,84,117,47
P0206,56,633,43
P0207,145,970,41
P0208,84,236,24
P0209,107,625,47
P0210,83,299,27
P0211,161,153,26
P0212,159,160,33
P0213,106,728,42
P0214,128,84,44
P0215,59,934,31
P0216,147,916,36
P0217,97,288,50
P0218,146,36,26
P0219,126,440,31
P0220,83,828,39
P0221,156,228,34
P0222,164,900,41
P0223,89,984,46
P0224,143,41,38
P0225,164,314,36
P0226,154,545,29
P0227,175,935,33
P0228,154,671,48
P0229,63,735,26
P0230,133,542,20
P0231,197,201,40
P0232,105,695,47
P0233,170,733,36
P0234,87,387,36
P0235,146,918,46
P0236,198,20,30
P0237,137,576,49
P0238,148,147,49
P0239,113,270,37
P0240,152,437,30
P0241,123,133,38
P0242,183,151,27
P0243,184,519,30
P0244,64,569,33
P0245,165,548,50
P0246,161,755,20
P0247,134,565,23
P0248,67,159,29
P0249,75,831,31
P0250,121,491,42
P0251,193,309,27
P0252,88,201,25
P0253,165,158,48
P0254,123,517,39
P0255,130,825,38
P0256,150,431,44
P0257,153,19,27
P0258,69,4,43
P0259,93,495,48
P0260,78,144,35
P0261,162,763,28
P0262,92,531,30
P0263,93,964,38
P0264,173,607,23
P0265,113,232,33
P0266,119,749,50
P0267,194,517,30
P0268,88,100,23
P0269,75,546,22
P0270,170,864,32
P0271,52,539,22
P0272,136,43,27
P0273,195,543,24
P0274,180,516,46
P0275,59,695,20
P0276,179,372,42
P0277,153,484,20
P0278,126,380,28
P0279,73,582,42
P0280,97,837,27
P0281,101,825,40
P0282,146,939,38
P0283,165,872,22
P0284,126,30,34
P0285,158,234,41
P0286,168,167,38
P0287,185,911,22
P0288,162,869,34
P0289,126,777,46
P0290,176,114,38
P0291,52,767,29
P0292,185,880,50
P0293,92,344,47
P0294,96,201,45
P0295,188,222,45
P0296,126,879,50
P0297,147,497,33
P0298,115,153,50
P0299,87,876,41
P0300,81,177,36
P0301,76,256,48
P0302,98,222,42
P0303,74,985,35
P0304,145,610,43
