P00001,173,9922,44
P00002,98,7787,50
P00003,118,604,28
P00004,55,7294,28
P00005,159,5136,48
P00006,174,8244,47
P00007,164,7919,24
P00008,85,7152,25
P00009,122,7222,28
P00010,52,8708,30
P00011,92,6794,34
P00012,85,2984,29
P00013,188,7899,20
P00014,164,7479,41
P00015,121,7969,26
P00016,94,2223,26
P00017,112,211,44
P00018,105,2128,30
P00019,176,7262,48
P00020,60,302,23
P00021,72,5410,29
P00022,135,897,21
P00023,197,1080,38
P00024,86,666,35
P00025,82,9820,29
P00026,137,1669,34
P00027,185,8587,29
P00028,176,9348,24
P00029,145,4940,26
P00030,141,3343,34
P00031,200,168,30
P00032,163,1631,46
P00033,104,3101,49
P00034,163,1461,45
P00035,108,3663,46
P00036,165,3933,32
P00037,60,5968,25
P00038,163,715,34
P00039,154,1548,50
P00040,60,6931,33
P00041,101,9170,50
P00042,193,5196,44
P00043,144,9822,32
P00044,199,1050,30
P00045,180,3225,22
P00046,67,6951,50
P00047,133,1382,26
P00048,116,6203,41
P00049,65,8968,28
P00050,128,6162,33
P00051,167,4956,49
P00052,176,1897,39
P00053,103,8455,25
P00054,103,3257,27
P00055,98,7024,33
P00056,119,5207,32
P00057,169,4554,31
P00058,144,5670,38
P00059,194,4390,41
P00060,144,7507,39
P00061,141,2540,50
P00062,113,7566,42
P00063,138,447,31
P00064,103,811,39
P00065,50,5,27
P00066,174,8744,45
P00067,90,189,30
P00068,198,7351,22
P00069,93,9675,27
P00070,190,570,25
P00071,161,5444,41
P00072,57,2731,46
P00073,83,8870,24
P00074,82,8937,29
P00075,108,4398,36
P00076,199,6827,29
P00077,172,9086,45
P00078,120,6923,28
P00079,188,4580,28
P00080,181,9298,46
P00081,159,2206,27
P00082,54,1498,29
P00083,105,32,23
P00084,96,1444,44
P00085,63,2479,25
P00086,76,1344,25
P00087,160,2832,40
P00088,112,8208,35
P00089,159,2652,30
P00090,118,4379,38
P00091,174,3725,35
P00092,120,8298,47
P00093,110,633,47
P00094,145,3995,36
P00095,85,8816,43
P00096,60,8642,25
P00097,151,2975,30
P00098,148,7330,41
P00099,99,546,35
P00100,55,1678,49
P00101,185,155,23
P00102,150,9689,22
P00103,89,2389,44
P00104,90,9778,22
P00105,53,7858,46
P00106,95,7833,30
P00107,63,7888,36
P00108,194,3743,40
P00109,139,7865,37
P00110,168,2188,22
P00111,155,8429,39
P00112,160,8710,21
P00113,117,1919,27
P00114,109,4262,29
P00115,122,486,47
P00116,175,4742,45
P00117,148,5926,27
P00118,199,7513,49
P00119,70,6362,28
P00120,192,3766,28
P00121,104,7962,31
P00122,137,8854,29
P00123,176,9655,49
P00124,99,8007,24
P00125,176,3629,50
