P001,110,97,43
P002,184,89,22
P003,135,63,40
P004,86,71,49
P005,138,36,27
P006,86,53,38
P007,170,81,25
P008,120,40,49
P009,55,65,45
P010,127,100,44
P011,150,2,39
P012,74,39,35
P013,185,7,29
P014,127,51,22
P015,58,4,49
P016,57,35,34
P017,83,12,31
P018,103,65,24
P019,64,3,25
P020,94,36,34
P021,95,24,43
P022,117,12,24
P023,200,24,22
P024,98,77,25
P025,59,98,27
P026,63,46,30
P027,168,43,20
P028,179,69,47
P029,149,51,26
P030,84,66,40
P031,141,3,22
P032,121,34,44
P033,120,38,28
P034,52,16,42
P035,116,30,33
P036,161,91,49
P037,181,72,44
P038,192,92,33
P039,199,50,29
P040,124,98,39
P041,155,62,38
P042,146,34,47
P043,159,73,31
P044,108,2,24
P045,78,29,22
P046,126,69,34
P047,83,47,23
P048,88,79,38
P049,161,23,38
P050,57,81,49
P051,155,56,30
P052,165,38,41
P053,160,39,26
P054,86,54,20
P055,153,50,43
P056,78,101,35
P057,56,44,26
P058,101,28,26
P059,180,65,39
P060,135,63,49
P061,187,90,21
P062,178,6,31
P063,171,75,45
P064,125,92,20
P065,165,99,40
P066,78,95,28
P067,157,36,27
P068,139,44,26
P069,72,23,24
P070,162,89,37
P071,51,101,49
P072,151,42,28
P073,97,4,39
P074,162,35,21
P075,135,74,48
P076,163,40,40
P077,179,100,49
P078,62,48,37
P079,108,50,44
P080,135,54,38
P081,194,90,30
P082,181,86,35
P083,199,31,30
P084,157,102,43
P085,142,102,31
P086,148,87,28
P087,112,31,35
P088,199,102,30
P089,141,31,38
P090,191,92,45
P091,124,16,22
P092,165,92,32
P093,159,63,43
P094,194,35,35
P095,121,51,41
P096,70,50,47
P097,196,32,45
P098,75,62,48
P099,69,19,36
P100,172,31,32
